-1 -24 34 0
1 -34 0
24 -34 0
-1 -30 35 0
1 -35 0
30 -35 0
-2 -17 36 0
2 -36 0
17 -36 0
-2 -20 37 0
2 -37 0
20 -37 0
-2 -23 38 0
2 -38 0
23 -38 0
-2 -24 39 0
2 -39 0
24 -39 0
-2 -25 40 0
2 -40 0
25 -40 0
-2 -26 41 0
2 -41 0
26 -41 0
-2 -28 42 0
2 -42 0
28 -42 0
-2 -29 43 0
2 -43 0
29 -43 0
-2 -31 44 0
2 -44 0
31 -44 0
-2 -33 45 0
2 -45 0
33 -45 0
-3 -23 46 0
3 -46 0
23 -46 0
-3 -29 47 0
3 -47 0
29 -47 0
-3 -30 48 0
3 -48 0
30 -48 0
-3 -33 49 0
3 -49 0
33 -49 0
-4 -16 50 0
4 -50 0
16 -50 0
-4 -19 51 0
4 -51 0
19 -51 0
-4 -22 52 0
4 -52 0
22 -52 0
-4 -23 53 0
4 -53 0
23 -53 0
-4 -24 54 0
4 -54 0
24 -54 0
-4 -25 55 0
4 -55 0
25 -55 0
-4 -27 56 0
4 -56 0
27 -56 0
-4 -30 57 0
4 -57 0
30 -57 0
-4 -31 58 0
4 -58 0
31 -58 0
-4 -32 59 0
4 -59 0
32 -59 0
-5 -22 60 0
5 -60 0
22 -60 0
-5 -26 61 0
5 -61 0
26 -61 0
-5 -28 62 0
5 -62 0
28 -62 0
-6 -15 63 0
6 -63 0
15 -63 0
-6 -18 64 0
6 -64 0
18 -64 0
-6 -21 65 0
6 -65 0
21 -65 0
-6 -22 66 0
6 -66 0
22 -66 0
-6 -23 67 0
6 -67 0
23 -67 0
-6 -26 68 0
6 -68 0
26 -68 0
-6 -27 69 0
6 -69 0
27 -69 0
-6 -29 70 0
6 -70 0
29 -70 0
-6 -31 71 0
6 -71 0
31 -71 0
-6 -33 72 0
6 -72 0
33 -72 0
-7 -21 73 0
7 -73 0
21 -73 0
-7 -22 74 0
7 -74 0
22 -74 0
-7 -27 75 0
7 -75 0
27 -75 0
-7 -28 76 0
7 -76 0
28 -76 0
-7 -31 77 0
7 -77 0
31 -77 0
-7 -33 78 0
7 -78 0
33 -78 0
-8 -14 79 0
8 -79 0
14 -79 0
-8 -17 80 0
8 -80 0
17 -80 0
-8 -21 81 0
8 -81 0
21 -81 0
-8 -22 82 0
8 -82 0
22 -82 0
-8 -23 83 0
8 -83 0
23 -83 0
-8 -25 84 0
8 -84 0
25 -84 0
-8 -28 85 0
8 -85 0
28 -85 0
-8 -29 86 0
8 -86 0
29 -86 0
-8 -30 87 0
8 -87 0
30 -87 0
-8 -33 88 0
